title	equation	condition	point	memo	tags
接触法（硫酸の工業的製法）	2SO2 + O2 → 2SO3	V2O5 触媒、約450℃	SO3 は濃硫酸に吸収させる	水に直接通すと激しく反応するので発煙硫酸としてから希硫酸で薄める	kogyo
接触法 第1段階	S + O2 → SO2	燃焼	硫黄または黄鉄鉱を燃焼させて SO2 を得る	出発原料の確認	kogyo
オストワルト法 第1段階	4NH3 + 5O2 → 4NO + 6H2O	白金触媒、約800℃	NH3 の接触酸化	ハーバー・ボッシュ法の NH3 が原料になる	kogyo
オストワルト法 第2段階	2NO + O2 → 2NO2	常温	NO は空気中で直ちに酸化される	中間生成物	kogyo
オストワルト法 第3段階	3NO2 + H2O → 2HNO3 + NO	温水に吸収	生じた NO は循環させて再利用する	循環がポイント	kogyo
ハーバー・ボッシュ法（アンモニアの合成）	N2 + 3H2 → 2NH3	Fe3O4 主成分の触媒、約400〜600℃・約1〜3×10^7 Pa	高圧・低温が平衡には有利だが速度のため中温にする	ルシャトリエの原理と反応速度の折り合い	kogyo
アンモニアソーダ法 第1段階	NaCl + NH3 + CO2 + H2O → NaHCO3 + NH4Cl	飽和食塩水に NH3 と CO2 を吹き込む	溶解度の小さい NaHCO3 が析出する	ソルベー法。CO2 と NH3 を循環させる	kogyo
アンモニアソーダ法 第2段階	2NaHCO3 → Na2CO3 + H2O + CO2	加熱	生じた CO2 は第1段階に戻す	循環が要点	kogyo
アンモニアソーダ法 NH3 の回収	2NH4Cl + Ca(OH)2 → CaCl2 + 2NH3 + 2H2O	加熱	Ca(OH)2 は CaO から作る	CaO は CaCO3 → CaO + CO2 から供給	kogyo
テルミット反応	2Al + Fe2O3 → Al2O3 + 2Fe	点火	Al の酸素との親和力が大きいことを利用した還元	多量の熱が出て鉄が融解する	kogyo
溶鉱炉での鉄の還元	Fe2O3 + 3CO → 2Fe + 3CO2	高温、コークスから生じる CO	還元剤は C ではなく CO	銑鉄には炭素が多く含まれる	kogyo
アルミニウムの溶融塩電解	2Al2O3 → 4Al + 3O2	氷晶石に溶かして約1000℃で電解	融点を下げるために氷晶石を使う	ホール・エルー法	kogyo
塩素の実験室的製法	MnO2 + 4HCl → MnCl2 + Cl2 + 2H2O	濃塩酸を加えて加熱	水と濃硫酸に通して HCl と水分を除く	洗気びんの順序が頻出	jikken
アンモニアの実験室的製法	2NH4Cl + Ca(OH)2 → CaCl2 + 2NH3 + 2H2O	加熱	上方置換で捕集し、ソーダ石灰で乾燥	濃硫酸・CaCl2 では乾燥できない	jikken
塩化水素の実験室的製法	NaCl + H2SO4 → NaHSO4 + HCl	濃硫酸を加えて加熱	不揮発性の酸で揮発性の酸を追い出す	下方置換で捕集	jikken
硫化水素の実験室的製法	FeS + H2SO4 → FeSO4 + H2S	希硫酸を加える	下方置換で捕集	加熱不要	jikken
二酸化炭素の実験室的製法	CaCO3 + 2HCl → CaCl2 + H2O + CO2	希塩酸を加える	下方置換で捕集	希硫酸は CaSO4 が表面を覆うので不可	jikken confusable
酸素の実験室的製法	2H2O2 → 2H2O + O2	MnO2 を触媒として加える	水上置換で捕集	MnO2 は触媒であって反応物ではない	jikken
水素の実験室的製法	Zn + H2SO4 → ZnSO4 + H2	希硫酸を加える	水上置換で捕集	イオン化傾向が水素より大きい金属を使う	jikken
一酸化窒素の生成	3Cu + 8HNO3 → 3Cu(NO3)2 + 2NO + 4H2O	希硝酸、常温	希硝酸の酸化作用	水上置換で捕集	jikken confusable
二酸化窒素の生成	Cu + 4HNO3 → Cu(NO3)2 + 2NO2 + 2H2O	濃硝酸、常温	濃硝酸の酸化作用	濃度で生成する窒素酸化物が変わる。NO と対で覚える	jikken confusable
熱濃硫酸による銅の溶解	Cu + 2H2SO4 → CuSO4 + SO2 + 2H2O	加熱した濃硫酸	Cu はイオン化傾向が水素より小さく希硫酸には溶けない	熱濃硫酸の酸化作用で溶ける	jikken
さらし粉の生成	Cl2 + Ca(OH)2 → CaCl(ClO)·H2O	塩素を消石灰に吸収させる	塩素の自己酸化還元	漂白剤	kogyo
石灰水と二酸化炭素	Ca(OH)2 + CO2 → CaCO3 + H2O	常温	白濁する	CO2 の検出	jikken
石灰水の白濁が消える反応	CaCO3 + CO2 + H2O → Ca(HCO3)2	CO2 を過剰に通す	炭酸水素塩となって溶ける	鍾乳洞の生成と同じ原理	jikken
アセチレンの生成	CaC2 + 2H2O → C2H2 + Ca(OH)2	炭化カルシウムに水を加える	三重結合を持つ気体	溶接に使う	yuki
エチレンの生成	C2H5OH → C2H4 + H2O	濃硫酸、約170℃	分子内脱水	130℃ではジエチルエーテルになる。温度の差が頻出	yuki confusable
ジエチルエーテルの生成	2C2H5OH → C2H5OC2H5 + H2O	濃硫酸、約130℃	分子間脱水	170℃のエチレンと対で覚える	yuki confusable
銀鏡反応	HCHO + 2[Ag(NH3)2]+ + 2OH- → HCOOH + 2Ag + 4NH3 + H2O	アンモニア性硝酸銀水溶液、温める	アルデヒドの還元性を確認する	銀が器壁に析出する	yuki
ヨードホルム反応	CH3CH(OH)R + 4I2 + 6NaOH → CHI3 + RCOONa + 5NaI + 5H2O	ヨウ素と水酸化ナトリウム水溶液	黄色沈殿 CHI3 が生じる	CH3CO- または CH3CH(OH)- を持つ化合物	yuki
